"batter","totalBatterStrikeoutRate","totalBatterWalkRate","totalBatterwOBA","pitcher","bats","BsRperPA","DefperInn"
573627,0.267694354760273,0.083651568431498,0.393282135492783,573627,"S",-6e-04,0
572241,0.285441773809524,0.0788626442590034,0.358861728395062,572241,"L",0,0
605474,0.220364115044248,0.0871634049026477,0.369763387784091,605474,"L",0,0
596146,0.168629179693403,0.103687498442732,0.329695767340914,596146,"L",0.00176847640672184,0.000449300841586507
605113,0.195542231360753,0.0645625803873106,0.331695841735001,605113,"R",-0.0026590286078572,0.00403834732085216
592696,0.183872340286326,0.0452114239589387,0.372005546972559,592696,"L",0.00365525111274262,-0.00210900027837235
605131,0.242273720032502,0.112024970836826,0.342169428228728,605131,"R",-0.00321899416255052,0
592325,0.202196749387268,0.095328014626538,0.354478269190155,592325,"L",0.00275817561278312,-0.00192387640449438
593428,0.17797001079591,0.0853347508381916,0.385709526458389,593428,"R",0.00294894108064078,0.0042457845943763
593934,0.369492030878174,0.108872334269398,0.440114456521055,593934,"R",-0.00399464882943144,0.000102008032128514
593528,0.269365673560771,0.100226851828058,0.382424381705707,593528,"R",8.43952957697032e-05,-0.00181318977119785
596748,0.137910445876843,0.0573213457381343,0.346984853418815,596748,"R",-0.0045243687326326,-0.00269702023710497
595751,0.347517324111953,0.0309863551281329,0.43596894297584,595751,"R",-0.00529077202289543,0.00506605293440736
594988,0.238238803197182,0.0769804132167386,0.406773948056933,594988,"L",0.000105579643498445,-0.00864651514656463
595426,0.224187416738168,0.103723329555143,0.334939165845764,595426,"L",0,0
596059,0.236506470187487,0.0672083809308064,0.367619147015676,596059,"L",0.000433162496231535,0.00304340272771732
607345,0.114272235469876,0.0428709863593928,0.325734281081574,607345,"R",-0.00706422205245735,-0.000231243972999036
605486,0.313342928781676,0.073980629442769,0.376115582081473,605486,"L",0.00562603099553454,-0.00172506527415144
607054,0.222271396981232,0.122452539893135,0.319760100092918,607054,"L",0.000276819814709775,0
600303,0.140112069011911,0.0878498539783187,0.333607389064484,600303,"L",-0.00127967025386313,0
607333,0.221517204436451,0.0877121952561662,0.357210655737705,607333,"L",0,0
600301,0.212589192818148,0.0838703503095179,0.323527588100815,600301,"R",4e-04,0
607387,0.331952598344977,0.0691044201210163,0.367582184445605,607387,"R",-0.000406547619047619,0
607680,0.177011615379547,0.0305481257228524,0.354198998828009,607680,"R",0.00285970152739502,0.00344086648483884
607625,0.292035577265692,0.0601858526901967,0.333718630560721,607625,"R",0,0
