"pitcher","totalPitcherStrikeoutRate","totalPitcherWalkRate","totalPitcherwOBA","throws","inningsPerStart","Rank","Factor"
543475,0.220426316779169,0.0895844853862515,0.373017775854423,"R",5.875,0.457453143375788,0.973435228971043
543483,0.216074803057599,0.103236450940873,0.381226195067934,"R",5.4,0.5,1
543506,0.214633913333785,0.119697877656847,0.374885770332856,"R",5.4,0.5,1
543507,0.248423062650719,0.0974123772739585,0.369805111010993,"R",5,0.49885597160802,0.997242906267536
543508,0.216639554325259,0.10363204204793,0.372700228707397,"R",5.4,0.5,1
543521,0.304950380342798,0.0912690944329886,0.366429141824908,"R",5.4,0.540260992836132,0.986793199373226
543548,0.198165159768856,0.0771548902592242,0.377531337796782,"L",5.525,0.483389767230941,1.04720222317386
543557,0.153739973156717,0.0873039658765187,0.378960524572703,"L",5.11578947368421,0.55148884723912,1.00344247695143
543606,0.259555450528562,0.119563020404934,0.379909904429449,"R",5.128125,0.498213225761202,1.03465808305452
543699,0.199576983940462,0.0827059562772451,0.375987742176025,"R",6,0.551268332479169,1.03172082041748
543734,0.203287474932517,0.103079145021507,0.370946123623024,"L",5.4,0.5,1
543746,0.215290444619666,0.103827495416348,0.371277777767114,"R",5.4,0.5,1
543766,0.1733470346427,0.113289968077126,0.380843426613435,"R",5.4,0.5,1
543883,0.222871328859972,0.0634102746811862,0.36783572162579,"R",5,0.50050058294478,1.00418112291535
543901,0.192124882700422,0.0974983262273902,0.370922700148825,"R",5.4,0.50009305604895,1.00086444569394
543903,0.223871822365095,0.0977010715212805,0.37412841389694,"R",5.4,0.5,1
543935,0.208732399517755,0.0983971644276451,0.371030868212368,"R",5.4,0.5,1
544365,0.221211795340605,0.114816204458462,0.371430117760126,"L",5.4,0.5,1
544727,0.259607681401747,0.109053114486466,0.367231283274583,"R",5.4,0.5,1
544836,0.201466110292281,0.0903046271817844,0.375396952727951,"L",5.4,0.5,1
544928,0.231330924712512,0.0960112603232878,0.377562161218654,"L",5.4,0.5,1
544931,0.256786284149274,0.0814907423386374,0.381175978209505,"R",5.90909090909091,0.62986563618693,0.948955046369585
545332,0.22325029047111,0.0938444878733399,0.373430314386559,"R",5.4,0.5,1
545333,0.297581818796711,0.101029002198869,0.364127418850673,"R",6.33703703703704,0.649771319398067,0.92968504027073
545363,0.185629220544485,0.107305302578139,0.376771216744135,"R",5,0.483702733586404,1.01159003249887
547007,0.198831501292597,0.100192069869997,0.373217474638856,"R",5.4,0.498242859091512,1.00539894106088
547179,0.1853930922783,0.0957496853730316,0.368432147912327,"R",5,0.5,1
547749,0.200495402780234,0.100618110443489,0.380435506472315,"R",5.4,0.5,1
547888,0.240363352769882,0.0777683511132488,0.373606629585413,"R",5.77777777777778,0.644237182396114,0.929253445634899
547943,0.24651776066954,0.0700957024513465,0.370015000075414,"L",5.47333333333333,0.587959630866528,0.97692595896231
547973,0.347656197849011,0.10920889967045,0.367343440343803,"L",5.4,0.5,1
548357,0.188790152008039,0.0948496212966721,0.378582680781148,"R",5.55,0.469338114443677,1.0318728519961
